tag	x	y;Ioannis Rafail Bartzialis
yellow	9.300137	-2.315418;
blue	8.567513	2.419892;
blue	12.812857	2.469547;
yellow	11.203246	-2.435417;
orange_big	6.853994	-2.093000;
yellow	13.155667	-2.380493;
orange_big	6.499505	2.247691;
orange_big	6.36495	4.708410;
blue	21.645819	0.342036;
blue	16.666277	2.041087;
blue	19.16118	1.236560;
blue	4.185855	2.166817;
blue	24.103886	-1.206218;
blue	24.737827	-3.001129;
yellow	18.460783	-2.712565;
yellow	15.975348	-2.477814;
yellow	19.586277	-3.736199;
yellow	1.673143	-2.030625;
blue	24.685385	-4.925764;
blue	25.016722	-6.736422;
yellow	19.720146	-5.905223;
blue	27.049938	-9.806174;
blue	25.80451	-8.796456;
yellow	20.496361	-8.429347;
yellow	21.748337	-11.341987;
yellow	25.391876	-13.926884;
yellow	23.331543	-12.992670;
yellow	4.60514	-2.109494;
blue	28.557283	-10.156727;
none	7.045414	-4.126525;
yellow	27.718632	-14.160285;
blue	30.50001	-10.233394;
yellow	29.700487	-14.034208;
blue	33.0494	-10.065825;
blue	35.017551	-10.515742;
blue	36.276924	-12.269612;
yellow	31.607635	-14.268987;
blue	36.759651	-14.162232;
yellow	32.779579	-15.036678;
blue	36.863827	-15.885703;
yellow	33.109707	-16.766840;
blue	36.659901	-17.883369;
blue	36.449551	-19.991987;
yellow	32.778999	-18.843521;
blue	36.362774	-22.025896;
yellow	32.61721	-20.330454;
yellow	26.248493	-19.225922;
yellow	24.276201	-17.952173;
yellow	21.612911	-17.439632;
blue	37.261387	-24.240170;
yellow	32.680115	-21.856335;
yellow	33.423	-24.756121;
yellow	34.211113	-26.931694;
yellow	27.086023	-21.459543;
yellow	27.592224	-23.091747;
yellow	18.581909	-17.842480;
blue	38.437881	-25.903988;
yellow	27.974508	-24.872335;
yellow	28.072432	-27.358263;
blue	23.504	-24.492146;
blue	23.017721	-23.209560;
blue	21.57445	-21.434704;
none	19.590715	-21.046076;
yellow	34.522224	-28.780775;
none	27.830006	-29.174105;
none	27.252718	-31.172266;
blue	24.058998	-26.805431;
blue	24.071096	-28.444500;
yellow	15.617509	-18.797281;
blue	23.139685	-30.692589;
none	17.085899	-22.393774;
yellow	34.18269	-30.705992;
blue	21.897177	-33.286358;
none	15.038046	-23.837049;
yellow	13.453795	-20.289547;
blue	38.467354	-28.290482;
none	26.230129	-33.788750;
none	13.268104	-26.058788;
yellow	33.29657	-32.295696;
yellow	11.351853	-21.481234;
blue	37.823421	-30.874224;
none	12.127485	-28.142048;
yellow	31.881781	-34.436691;
none	25.67214	-36.506535;
blue	21.225201	-36.632839;
blue	36.129921	-34.351013;
none	30.532841	-37.423222;
blue	34.657192	-36.691742;
none	26.169037	-38.532181;
yellow	29.225864	-39.170692;
none	54.727631	-23.954218;
none	53.861214	-28.863218;
none	52.991016	-33.753807;
none	50.040359	-38.259827;
none	50.856571	-33.382122;
blue	33.331062	-39.545570;
blue	31.313269	-42.123169;
blue	27.857433	-43.545132;
none	27.589558	-39.628201;
blue	25.328909	-43.291195;
blue	22.10877	-41.051689;
blue	21.44824	-38.736256;
blue	23.653646	-42.531075;
blue	-0.110867	-32.172596;
blue	3.033421	-32.207535;
blue	5.832744	-32.477005;
blue	8.936315	-32.090759;
none	10.564355	-30.676170;
yellow	1.047934	-27.644814;
yellow	3.525244	-28.068974;
yellow	6.116359	-28.372925;
yellow	8.269577	-26.145679;
